,batsman,batsman_runs,ball,strike_rate,batting_average,cluster_number_ward
2,A Chopra,53,75,70.66666666666667,10.6,4
5,A Kumble,35,49,71.42857142857143,17.5,4
8,A Mukund,19,23,82.6086956521739,9.5,4
9,A Nehra,41,63,65.07936507936508,6.833333333333333,4
14,AA Bilakhia,69,88,78.4090909090909,13.8,4
15,AA Chavan,12,11,109.09090909090908,12.0,4
17,AA Noffke,9,12,75.0,9.0,4
25,AC Thomas,20,19,105.26315789473684,10.0,4
27,AD Mascarenhas,79,79,100.0,8.777777777777779,4
29,AD Nath,20,28,71.42857142857143,5.0,4
32,AG Murtaza,10,14,71.42857142857143,10.0,4
33,AG Paunikar,49,61,80.32786885245902,9.8,4
40,AN Ghosh,7,8,87.5,3.5,4
44,AR Bawne,12,12,100.0,12.0,4
52,Anirudh Singh,63,69,91.30434782608695,15.75,4
54,Ankit Soni,7,9,77.77777777777779,3.5,4
55,Anureet Singh,33,43,76.74418604651163,8.25,4
59,B Kumar,158,160,98.75,8.777777777777779,4
63,BA Bhatt,6,7,85.71428571428571,6.0,4
68,BB Sran,4,4,100.0,4.0,4
74,BMAJ Mendis,23,27,85.18518518518519,7.666666666666667,4
75,BR Dunk,40,36,111.11111111111111,13.333333333333334,4
78,C Madan,15,21,71.42857142857143,15.0,4
82,CA Ingram,21,26,80.76923076923077,10.5,4
88,CJ Ferguson,98,119,82.35294117647058,16.333333333333332,4
91,CK Kapugedera,16,24,66.66666666666666,5.333333333333333,4
92,CK Langeveldt,8,9,88.88888888888889,4.0,4
96,CR Woakes,46,47,97.87234042553192,15.333333333333334,4
101,D du Preez,10,13,76.92307692307693,10.0,4
113,DJ Jacobs,92,101,91.0891089108911,13.142857142857142,4
115,DJ Thornely,39,54,72.22222222222221,13.0,4
118,DL Vettori,121,118,102.54237288135593,17.285714285714285,4
122,DP Vijaykumar,1,1,100.0,1.0,4
124,DR Martyn,19,26,73.07692307692307,19.0,4
126,DS Kulkarni,90,101,89.10891089108911,11.25,4
127,DS Lehmann,18,19,94.73684210526315,9.0,4
129,DT Patil,13,13,100.0,13.0,4
130,DW Steyn,166,161,103.1055900621118,8.3,4
133,F Behardien,14,13,107.6923076923077,7.0,4
135,FH Edwards,4,5,80.0,4.0,4
138,GB Hogg,22,22,100.0,11.0,4
140,GD McGrath,4,5,80.0,4.0,4
144,GR Napier,15,16,93.75,15.0,4
153,Harpreet Singh,20,26,76.92307692307693,10.0,4
155,I Sharma,45,59,76.27118644067797,7.5,4
158,IR Jaggi,76,100,76.0,15.2,4
159,Imran Tahir,18,25,72.0,4.5,4
162,J Arunkumar,23,24,95.83333333333334,7.666666666666667,4
165,J Syed Mohammad,29,27,107.40740740740742,14.5,4
166,J Theron,10,13,76.92307692307693,5.0,4
172,JDP Oram,106,110,96.36363636363636,13.25,4
173,JDS Neesham,42,46,91.30434782608695,14.0,4
174,JE Taylor,3,4,75.0,3.0,4
177,JJ Bumrah,25,27,92.5925925925926,12.5,4
179,JJ van der Wath,18,17,105.88235294117648,9.0,4
180,JM Kemp,26,25,104.0,13.0,4
185,Jaskaran Singh,8,11,72.72727272727273,8.0,4
188,K Rabada,55,68,80.88235294117648,18.333333333333332,4
191,KAJ Roach,10,9,111.11111111111111,10.0,4
192,KB Arun Karthik,51,53,96.22641509433963,10.2,4
193,KC Cariappa,15,18,83.33333333333334,5.0,4
207,KW Richardson,36,39,92.3076923076923,12.0,4
210,Karanveer Singh,12,17,70.58823529411765,12.0,4
211,Kuldeep Yadav,20,22,90.9090909090909,10.0,4
213,L Balaji,36,50,72.0,5.142857142857143,4
214,L Ronchi,34,37,91.8918918918919,11.333333333333334,4
217,LH Ferguson,1,1,100.0,1.0,4
230,M Ntini,11,19,57.89473684210527,11.0,4
231,M Rawat,55,70,78.57142857142857,11.0,4
236,MA Khote,24,22,109.09090909090908,12.0,4
237,MA Starc,96,98,97.95918367346938,16.0,4
241,MDKJ Perera,14,13,107.6923076923077,7.0,4
244,MG Johnson,151,157,96.17834394904459,11.615384615384615,4
245,MJ Clarke,98,96,102.08333333333333,16.333333333333332,4
252,MM Patel,39,41,95.1219512195122,7.8,4
253,MM Sharma,112,104,107.6923076923077,8.615384615384615,4
254,MN Samuels,161,174,92.52873563218391,14.636363636363637,4
261,MS Wade,22,33,66.66666666666666,7.333333333333333,4
264,Mashrafe Mortaza,2,2,100.0,2.0,4
268,Mohammad Hafeez,64,84,76.19047619047619,9.142857142857142,4
270,Mohammed Shami,46,46,100.0,6.571428571428571,4
272,N Saini,140,143,97.9020979020979,14.0,4
274,NJ Maddinson,20,21,95.23809523809523,6.666666666666667,4
275,NJ Rimmington,1,1,100.0,1.0,4
278,NM Coulter-Nile,52,53,98.11320754716981,7.428571428571429,4
279,NS Naik,23,33,69.6969696969697,11.5,4
284,P Dogra,127,141,90.0709219858156,15.875,4
294,PJ Sangwan,24,36,66.66666666666666,4.8,4
298,PR Shah,92,97,94.84536082474226,11.5,4
300,PV Tambe,18,39,46.15384615384615,18.0,4
302,Parvez Rasool,17,20,85.0,8.5,4
304,R Ashwin,231,246,93.90243902439023,11.55,4
306,R Bishnoi,19,17,111.76470588235294,6.333333333333333,4
311,R Rampaul,51,52,98.07692307692307,10.2,4
313,R Sharma,66,77,85.71428571428571,6.0,4
314,R Shukla,19,23,82.6086956521739,19.0,4
320,RE Levi,83,74,112.16216216216218,13.833333333333334,4
321,RE van der Merwe,159,144,110.41666666666667,14.454545454545455,4
322,RG More,2,2,100.0,2.0,4
324,RJ Harris,117,112,104.46428571428572,9.75,4
325,RJ Peterson,32,32,100.0,10.666666666666666,4
326,RJ Quiney,103,105,98.09523809523809,14.714285714285714,4
333,RR Rossouw,53,51,103.921568627451,10.6,4
338,RT Ponting,91,129,70.54263565891473,11.375,4
339,RV Gomez,50,53,94.33962264150944,10.0,4
342,S Anirudha,136,121,112.39669421487604,17.0,4
346,S Chanderpaul,25,33,75.75757575757575,8.333333333333334,4
348,S Gopal,14,27,51.85185185185185,14.0,4
349,S Kaul,9,13,69.23076923076923,9.0,4
357,S Sreesanth,34,57,59.64912280701754,11.333333333333334,4
358,S Sriram,31,38,81.57894736842105,15.5,4
359,S Tyagi,3,4,75.0,3.0,4
361,SA Abbott,15,13,115.38461538461537,15.0,4
364,SB Bangar,49,58,84.48275862068965,8.166666666666666,4
370,SD Chitnis,99,92,107.6086956521739,14.142857142857142,4
373,SJ Srivastava,5,5,100.0,5.0,4
375,SK Trivedi,42,61,68.85245901639344,6.0,4
376,SK Warne,198,219,90.41095890410958,11.647058823529411,4
377,SL Malinga,88,103,85.43689320388349,8.0,4
378,SM Harwood,9,14,64.28571428571429,9.0,4
381,SMSM Senanayake,10,17,58.82352941176471,10.0,4
383,SN Thakur,7,9,77.77777777777779,2.3333333333333335,4
392,SS Shaikh,6,7,85.71428571428571,6.0,4
398,SW Tait,23,26,88.46153846153845,7.666666666666667,4
407,Shoaib Malik,52,49,106.12244897959184,13.0,4
408,Sohail Tanvir,36,31,116.12903225806453,12.0,4
412,T Henderson,11,16,68.75,11.0,4
415,T Thushara,12,19,63.1578947368421,6.0,4
416,TA Boult,5,8,62.5,5.0,4
422,TM Srivastava,8,11,72.72727272727273,8.0,4
424,TS Mills,8,11,72.72727272727273,2.6666666666666665,4
429,UT Yadav,94,95,98.94736842105263,13.428571428571429,4
435,VH Zol,29,26,111.53846153846155,14.5,4
436,VR Aaron,46,56,82.14285714285714,15.333333333333334,4
438,VS Malik,7,7,100.0,7.0,4
439,VS Yeligati,2,2,100.0,2.0,4
442,Vishnu Vinod,19,26,73.07692307692307,6.333333333333333,4
444,WA Mota,56,76,73.68421052631578,11.2,4
445,WD Parnell,63,80,78.75,7.0,4
447,WPUJC Vaas,81,73,110.95890410958904,11.571428571428571,4
