,batsman,batsman_runs,ball,strike_rate,batting_average,cluster_number_ward
108,DH Yagnik,170,142,119.71830985915493,18.88888888888889,1
110,DJ Harris,111,103,107.76699029126213,37.0,1
111,DJ Hooda,373,277,134.65703971119135,16.217391304347824,1
116,DJG Sammy,295,251,117.52988047808766,19.666666666666668,1
117,DL Chahar,14,6,233.33333333333334,14.0,1
119,DM Bravo,6,5,120.0,6.0,1
120,DNT Zoysa,11,9,122.22222222222223,11.0,1
128,DT Christian,420,351,119.65811965811966,19.09090909090909,1
132,ER Dwivedi,24,15,160.0,12.0,1
136,FY Fazal,183,179,102.23463687150837,20.333333333333332,1
141,GH Vihari,280,323,86.687306501548,16.470588235294116,1
145,Gurkeerat Singh,342,280,122.14285714285715,16.285714285714285,1
148,HH Pandya,406,306,132.6797385620915,21.36842105263158,1
150,HV Patel,47,38,123.6842105263158,5.875,1
152,Harmeet Singh,18,12,150.0,9.0,1
154,I Malhotra,7,4,175.0,7.0,1
161,Ishan Kishan,319,255,125.09803921568627,22.785714285714285,1
163,J Botha,409,364,112.36263736263736,20.45,1
181,JO Holder,38,32,118.75,7.6,1
183,JP Faulkner,527,406,129.80295566502463,20.26923076923077,1
186,Joginder Sharma,36,30,120.0,9.0,1
187,K Goel,218,239,91.21338912133892,16.76923076923077,1
189,K Upadhyay,12,9,133.33333333333331,12.0,1
197,KJ Abbott,13,8,162.5,13.0,1
198,KK Cooper,116,70,165.71428571428572,12.88888888888889,1
202,KMDN Kulasekara,5,3,166.66666666666669,5.0,1
206,KV Sharma,317,285,111.22807017543859,15.85,1
215,LA Carseldine,81,71,114.08450704225352,27.0,1
220,LPC Silva,40,27,148.14814814814815,20.0,1
221,LR Shukla,405,358,113.12849162011173,15.0,1
224,M Kaif,259,258,100.3875968992248,16.1875,1
225,M Kartik,113,109,103.6697247706422,18.833333333333332,1
226,M Klinger,73,78,93.58974358974359,18.25,1
227,M Manhas,514,486,105.76131687242798,22.347826086956523,1
228,M Morkel,126,93,135.48387096774192,12.6,1
239,MC Juneja,125,134,93.28358208955224,17.857142857142858,1
240,MD Mishra,237,213,111.26760563380283,15.8,1
243,MF Maharoof,177,124,142.74193548387098,17.7,1
246,MJ Guptill,189,143,132.16783216783216,21.0,1
248,MJ McClenaghan,63,45,140.0,9.0,1
256,MP Stoinis,163,136,119.85294117647058,23.285714285714285,1
257,MR Marsh,225,201,111.94029850746267,20.454545454545453,1
260,MS Gony,99,76,130.26315789473685,11.0,1
265,Misbah-ul-Haq,117,82,142.6829268292683,16.714285714285715,1
276,NL McCullum,26,23,113.04347826086956,26.0,1
277,NLTC Perera,424,326,130.06134969325154,19.272727272727273,1
281,Niraj Patel,121,124,97.58064516129032,30.25,1
285,P Kumar,340,323,105.26315789473684,10.0,1
286,P Negi,353,284,124.29577464788733,20.764705882352942,1
288,P Sahu,19,13,146.15384615384613,19.0,1
290,PA Reddy,164,167,98.20359281437125,16.4,1
293,PJ Cummins,77,56,137.5,12.833333333333334,1
296,PP Chawla,515,467,110.27837259100643,13.205128205128204,1
305,R Bhatia,342,290,117.9310344827586,11.793103448275861,1
307,R Dhawan,153,135,113.33333333333333,21.857142857142858,1
309,R McLaren,159,178,89.32584269662921,19.875,1
312,R Sathish,270,236,114.40677966101696,16.875,1
315,R Tewatia,35,24,145.83333333333331,17.5,1
316,R Vinay Kumar,304,285,106.66666666666667,12.16,1
319,RD Chahar,3,2,150.0,3.0,1
331,RR Powar,67,64,104.6875,33.5,1
332,RR Raje,20,18,111.11111111111111,20.0,1
334,RR Sarwan,73,78,93.58974358974359,24.333333333333332,1
337,RS Sodhi,4,2,200.0,4.0,1
341,Rashid Khan,11,9,122.22222222222223,5.5,1
343,S Aravind,59,59,100.0,19.666666666666668,1
353,S Narwal,37,29,127.58620689655173,12.333333333333334,1
354,S Rana,91,82,110.97560975609757,22.75,1
356,S Sohal,368,311,118.32797427652733,20.444444444444443,1
360,S Vidyut,145,115,126.08695652173914,18.125,1
365,SB Jakati,28,30,93.33333333333333,28.0,1
367,SB Styris,131,134,97.76119402985076,18.714285714285715,1
380,SM Pollock,147,116,126.72413793103448,18.375,1
384,SP Fleming,196,171,114.61988304093566,21.77777777777778,1
385,SP Goswami,241,260,92.6923076923077,17.214285714285715,1
386,SP Jackson,38,31,122.58064516129032,19.0,1
387,SP Narine,271,193,140.41450777202073,15.941176470588236,1
397,SW Billings,226,173,130.635838150289,22.6,1
399,Sachin Baby,137,106,129.24528301886792,17.125,1
400,Salman Butt,193,172,112.20930232558139,27.571428571428573,1
401,Sandeep Sharma,26,36,72.22222222222221,26.0,1
402,Shahid Afridi,81,46,176.08695652173913,10.125,1
403,Shakib Al Hasan,500,401,124.68827930174564,20.833333333333332,1
404,Shivam Sharma,5,3,166.66666666666669,5.0,1
410,Sunny Singh,43,31,138.70967741935485,10.75,1
414,T Taibu,31,26,119.23076923076923,10.333333333333334,1
418,TG Southee,54,36,150.0,13.5,1
423,TR Birt,75,59,127.11864406779661,15.0,1
427,UBT Chand,300,314,95.54140127388536,15.0,1
428,UT Khawaja,127,105,120.95238095238095,25.4,1
430,Umar Gul,39,19,205.26315789473685,13.0,1
437,VRV Singh,4,3,133.33333333333331,4.0,1
440,VVS Laxman,282,271,104.0590405904059,17.625,1
443,W Jaffer,130,129,100.7751937984496,18.571428571428573,1
450,Y Gnaneswara Rao,19,18,105.55555555555556,19.0,1
451,Y Nagar,285,271,105.1660516605166,20.357142857142858,1
456,YV Takawale,192,183,104.91803278688525,24.0,1
