,batsman,batsman_runs,ball,strike_rate,batting_average,cluster_number_ward
0,A Ashish Reddy,280,196,142.85714285714286,18.666666666666668,1
3,A Choudhary,25,20,125.0,25.0,1
4,A Flintoff,62,57,108.77192982456141,31.0,1
6,A Mishra,340,382,89.00523560209425,13.6,1
7,A Mithun,34,26,130.76923076923077,6.8,1
16,AA Jhunjhunwala,217,218,99.54128440366972,18.083333333333332,1
18,AB Agarkar,179,160,111.87499999999999,22.375,1
19,AB Barath,42,43,97.67441860465115,21.0,1
21,AB McDonald,123,103,119.41747572815532,24.6,1
23,AC Blizzard,120,91,131.86813186813185,17.142857142857142,1
36,AL Menaria,401,367,109.26430517711172,19.095238095238095,1
41,AP Dole,34,23,147.82608695652172,17.0,1
42,AP Majumdar,87,77,112.98701298701299,21.75,1
43,AP Tare,339,285,118.94736842105263,14.125,1
47,AS Raut,194,172,112.79069767441861,21.555555555555557,1
48,AS Yadav,49,40,122.50000000000001,9.8,1
50,AUK Pathan,39,26,150.0,7.8,1
53,Ankit Sharma,87,69,126.08695652173914,12.428571428571429,1
56,Azhar Mahmood,388,311,124.7588424437299,20.42105263157895,1
57,B Akhil,76,57,133.33333333333331,15.2,1
58,B Chipli,280,256,109.375,18.666666666666668,1
61,B Lee,124,102,121.56862745098039,13.777777777777779,1
62,B Sumanth,35,38,92.10526315789474,35.0,1
67,BB Samantray,125,116,107.75862068965519,25.0,1
71,BJ Haddin,18,11,163.63636363636365,18.0,1
76,Basil Thampi,28,30,93.33333333333333,28.0,1
79,C Munro,30,31,96.7741935483871,30.0,1
81,C de Grandhomme,126,92,136.95652173913044,15.75,1
84,CA Pujara,390,403,96.7741935483871,21.666666666666668,1
94,CM Gautam,169,158,106.9620253164557,18.77777777777778,1
95,CR Brathwaite,95,56,169.64285714285714,11.875,1
97,CRD Fernando,4,3,133.33333333333331,4.0,1
104,DAJ Bracewell,12,9,133.33333333333331,12.0,1
105,DB Das,304,267,113.85767790262172,25.333333333333332,1
106,DB Ravi Teja,375,325,115.38461538461537,19.736842105263158,1
107,DE Bollinger,21,23,91.30434782608695,21.0,1
