,batsman,batsman_runs,ball,strike_rate,batting_average,cluster_number_ward
1,A Chandila,4,7,57.14285714285714,4.0,3
10,A Singh,2,10,20.0,0.5,3
12,A Uniyal,4,7,57.14285714285714,4.0,3
13,A Zampa,5,8,62.5,2.5,3
20,AB Dinda,26,50,52.0,2.888888888888889,3
31,AF Milne,7,12,58.333333333333336,3.5,3
46,AS Rajpoot,6,13,46.15384615384615,6.0,3
51,Abdur Razzak,0,2,0.0,0.0,3
60,B Laughlin,4,9,44.44444444444444,4.0,3
65,BAW Mendis,3,6,50.0,1.5,3
70,BE Hendricks,1,3,33.33333333333333,1.0,3
80,C Nanda,0,1,0.0,0.0,3
89,CJ Jordan,3,5,60.0,3.0,3
90,CJ McKay,8,15,53.333333333333336,8.0,3
98,D Kalyankrishna,3,8,37.5,3.0,3
114,DJ Muthuswami,1,3,33.33333333333333,1.0,3
121,DP Nannes,4,13,30.76923076923077,4.0,3
146,H Das,2,5,40.0,2.0,3
156,IC Pandey,0,2,0.0,0.0,3
167,J Yadav,6,12,50.0,6.0,3
171,JD Unadkat,5,13,38.46153846153847,5.0,3
203,KP Appanna,2,4,50.0,2.0,3
209,Kamran Khan,3,5,60.0,3.0,3
212,L Ablish,0,2,0.0,0.0,3
223,M Ashwin,0,1,0.0,0.0,3
229,M Muralitharan,20,30,66.66666666666666,3.3333333333333335,3
234,M de Lange,1,2,50.0,1.0,3
266,Mohammad Ashraful,2,12,16.666666666666664,2.0,3
267,Mohammad Asif,3,6,50.0,1.5,3
269,Mohammad Nabi,2,3,66.66666666666666,2.0,3
273,ND Doshi,0,13,0.0,0.0,3
283,P Awana,5,14,35.714285714285715,2.5,3
287,P Parameswaran,1,3,33.33333333333333,1.0,3
295,PM Sarvesh Kumar,1,2,50.0,1.0,3
297,PP Ojha,16,45,35.55555555555556,1.7777777777777777,3
299,PSP Handscomb,6,12,50.0,6.0,3
301,Pankaj Singh,7,12,58.333333333333336,3.5,3
310,R Ninan,3,6,50.0,3.0,3
328,RP Singh,52,78,66.66666666666666,3.7142857142857144,3
329,RR Bhatkal,0,2,0.0,0.0,3
336,RS Gavaskar,2,8,25.0,2.0,3
344,S Badree,13,25,52.0,2.6,3
350,S Kaushik,0,1,0.0,0.0,3
351,S Ladda,0,10,0.0,0.0,3
352,S Nadeem,26,71,36.61971830985916,2.1666666666666665,3
355,S Randiv,2,4,50.0,2.0,3
366,SB Joshi,6,16,37.5,3.0,3
368,SB Wagh,2,3,66.66666666666666,1.0,3
371,SE Bond,1,2,50.0,1.0,3
405,Shoaib Ahmed,1,6,16.666666666666664,0.5,3
406,Shoaib Akhtar,2,8,25.0,2.0,3
409,Sunny Gupta,0,1,0.0,0.0,3
411,Swapnil Singh,12,20,60.0,4.0,3
413,T Kohli,11,20,55.00000000000001,3.6666666666666665,3
417,TD Paine,10,29,34.48275862068966,5.0,3
425,U Kaul,0,1,0.0,0.0,3
426,UA Birla,7,15,46.666666666666664,7.0,3
432,V Pratap Singh,0,1,0.0,0.0,3
441,VY Mahesh,15,28,53.57142857142857,7.5,3
453,YA Abdulla,0,1,0.0,0.0,3
455,YS Chahal,15,29,51.724137931034484,7.5,3
458,Younis Khan,3,7,42.857142857142854,3.0,3
