,batsman,batsman_runs,ball,strike_rate,batting_average,cluster_number_ward
11,A Symonds,974,781,124.71190781049937,40.583333333333336,0
26,AC Voges,181,143,126.57342657342659,45.25,0
28,AD Mathews,724,599,120.86811352253757,25.857142857142858,0
30,AD Russell,574,350,164.0,28.7,0
34,AJ Finch,1604,1270,126.2992125984252,28.140350877192983,0
35,AJ Tye,53,30,176.66666666666666,53.0,0
37,AM Nayar,672,588,114.28571428571428,18.666666666666668,0
39,AN Ahmed,36,27,133.33333333333331,36.0,0
45,AR Patel,606,494,122.67206477732793,21.642857142857142,0
64,BA Stokes,316,227,139.20704845814979,31.6,0
69,BCJ Cutting,124,70,177.14285714285714,31.0,0
72,BJ Hodge,1400,1153,121.42237640936686,34.146341463414636,0
73,BJ Rohrer,193,146,132.1917808219178,27.571428571428573,0
77,Bipul Sharma,187,124,150.80645161290323,31.166666666666668,0
83,CA Lynn,384,260,147.6923076923077,38.4,0
86,CH Morris,439,275,159.63636363636365,36.583333333333336,0
87,CJ Anderson,521,414,125.84541062801932,27.42105263157895,0
93,CL White,971,774,125.45219638242895,28.558823529411764,0
99,D Salunkhe,33,24,137.5,33.0,0
100,D Wiese,127,94,135.1063829787234,31.75,0
102,DA Miller,1563,1135,137.7092511013216,36.348837209302324,0
109,DJ Bravo,1262,1032,122.28682170542635,23.37037037037037,0
112,DJ Hussey,1322,1101,120.07266121707538,28.73913043478261,0
123,DPMD Jayawardene,1808,1522,118.7910643889619,30.64406779661017,0
131,EJG Morgan,854,725,117.79310344827587,22.473684210526315,0
134,F du Plessis,1295,1043,124.16107382550337,35.0,0
139,GC Smith,739,691,106.9464544138929,28.423076923076923,0
142,GJ Bailey,663,552,120.1086956521739,25.5,0
143,GJ Maxwell,1229,780,157.56410256410257,25.081632653061224,0
147,HH Gibbs,886,837,105.8542413381123,28.580645161290324,0
149,HM Amla,577,418,138.03827751196172,44.38461538461539,0
151,Harbhajan Singh,799,591,135.19458544839256,16.645833333333332,0
157,IK Pathan,1150,985,116.75126903553299,23.46938775510204,0
160,Iqbal Abdulla,88,86,102.32558139534885,88.0,0
164,J Suchith,48,33,145.45454545454547,48.0,0
168,JA Morkel,975,712,136.93820224719101,25.657894736842106,0
169,JC Buttler,528,375,140.79999999999998,26.4,0
170,JD Ryder,604,466,129.6137339055794,22.37037037037037,0
175,JEC Franklin,327,309,105.8252427184466,29.727272727272727,0
178,JJ Roy,59,41,143.90243902439025,29.5,0
184,JR Hopes,417,314,132.80254777070064,26.0625,0
194,KC Sangakkara,1687,1424,118.4691011235955,25.953846153846154,0
196,KH Pandya,480,313,153.3546325878594,40.0,0
199,KK Nair,1158,929,124.65016146393972,26.318181818181817,0
200,KL Rahul,725,592,122.46621621621621,30.208333333333332,0
201,KM Jadhav,893,684,130.55555555555557,25.514285714285716,0
204,KP Pietersen,1001,758,132.05804749340368,37.074074074074076,0
205,KS Williamson,411,325,126.46153846153847,34.25,0
208,Kamran Akmal,128,78,164.1025641025641,32.0,0
216,LA Pomersbach,302,251,120.3187250996016,30.2,0
218,LJ Wright,106,63,168.25396825396825,26.5,0
219,LMP Simmons,1079,878,122.89293849658314,41.5,0
222,LRPL Taylor,1017,847,120.07083825265643,26.763157894736842,0
233,M Vohra,957,750,127.60000000000001,25.864864864864863,0
235,MA Agarwal,814,692,117.6300578034682,17.695652173913043,0
238,MC Henriques,969,769,126.00780234070221,28.5,0
247,MJ Lumb,278,198,140.4040404040404,27.8,0
250,MK Tiwary,1648,1444,114.12742382271468,30.51851851851852,0
251,ML Hayden,1107,839,131.94278903456495,39.535714285714285,0
255,MN van Wyk,167,135,123.7037037037037,55.666666666666664,0
258,MS Bisla,798,737,108.27679782903662,22.166666666666668,0
262,MV Boucher,394,318,123.89937106918238,28.142857142857142,0
263,Mandeep Singh,1112,938,118.5501066098081,20.9811320754717,0
271,N Rana,437,355,123.09859154929576,31.214285714285715,0
280,NV Ojha,1553,1356,114.52802359882006,21.87323943661972,0
282,OA Shah,506,405,124.93827160493827,42.166666666666664,0
291,PC Valthaty,505,432,116.89814814814814,22.954545454545453,0
292,PD Collingwood,203,159,127.67295597484276,50.75,0
303,Q de Kock,726,566,128.26855123674912,30.25,0
317,RA Jadeja,1732,1458,118.79286694101509,24.3943661971831,0
318,RA Tripathi,391,275,142.1818181818182,32.583333333333336,0
327,RN ten Doeschate,326,238,136.9747899159664,23.285714285714285,0
330,RR Pant,564,381,148.03149606299212,26.857142857142858,0
335,RS Bopara,531,468,113.46153846153845,31.235294117647058,0
345,S Badrinath,1441,1245,115.74297188755021,31.32608695652174,0
362,SA Asnodkar,423,352,120.17045454545455,23.5,0
363,SA Yadav,608,479,126.93110647181629,21.714285714285715,0
369,SC Ganguly,1349,1326,101.73453996983409,25.942307692307693,0
379,SM Katich,241,191,126.17801047120419,26.77777777777778,0
382,SN Khan,177,103,171.84466019417474,29.5,0
388,SPD Smith,1713,1333,128.50712678169543,38.06666666666667,0
391,SS Iyer,807,655,123.20610687022902,27.82758620689655,0
393,SS Tiwary,1276,1111,114.85148514851484,30.38095238095238,0
394,ST Jayasuriya,768,573,134.03141361256544,27.428571428571427,0
395,STR Binny,766,619,123.74798061389339,21.27777777777778,0
396,SV Samson,1426,1165,122.40343347639484,26.40740740740741,0
419,TL Suman,676,587,115.1618398637138,22.533333333333335,0
420,TM Dilshan,1153,1047,110.12416427889207,28.825,0
421,TM Head,205,151,135.76158940397352,34.166666666666664,0
434,V Shankar,101,77,131.1688311688312,50.5,0
446,WP Saha,1557,1219,127.72764561115667,25.95,0
452,Y Venugopal Rao,985,865,113.87283236994219,23.452380952380953,0
