,batsman,batsman_runs,dismissal_yn,ball,strike_rate,batting_average
443,W Jaffer,130,7.0,129,100.7751937984496,18.571428571428573
444,WA Mota,56,5.0,76,73.68421052631578,11.2
445,WD Parnell,63,9.0,80,78.75,7.0
446,WP Saha,1557,60.0,1219,127.72764561115667,25.95
447,WPUJC Vaas,81,7.0,73,110.95890410958904,11.571428571428571
448,Washington Sundar,9,0.0,12,75.0,9.0
449,X Thalaivan Sargunam,10,1.0,17,58.82352941176471,10.0
450,Y Gnaneswara Rao,19,1.0,18,105.55555555555556,19.0
451,Y Nagar,285,14.0,271,105.1660516605166,20.357142857142858
452,Y Venugopal Rao,985,42.0,865,113.87283236994219,23.452380952380953
453,YA Abdulla,0,0.0,1,0.0,0.0
454,YK Pathan,2922,93.0,2076,140.75144508670522,31.419354838709676
455,YS Chahal,15,2.0,29,51.724137931034484,7.5
456,YV Takawale,192,8.0,183,104.91803278688525,24.0
457,Yashpal Singh,47,4.0,67,70.1492537313433,11.75
458,Younis Khan,3,1.0,7,42.857142857142854,3.0
459,Yuvraj Singh,2591,98.0,2050,126.39024390243902,26.43877551020408
460,Z Khan,117,14.0,141,82.97872340425532,8.357142857142858
